Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
440;0;-47.3419;-6.51506;-96.9544;9.98358;4168.18;6.10319;0;0;0.1;0.01;0;1.75308;0;0;-1-1;-1
440;1;-37.7207;-35.1048;-91.5682;12.5484;8276.68;7.4784;0;0;6.4141e-19;0.01;0;3.81598;101;0;-1-1;-1
440;2;-35.9925;-15.4075;-87.2916;10.3981;4709.23;6.35897;0;0;0.000220555;0.01;0;5.29091;101;0;-1-1;-1
440;3;-33.6088;2.64388;-89.2237;10.6324;5034.75;6.45092;0;0;0.000275675;0.01;0;4.60239;101;0;-1-1;-1
440;4;-30.4379;21.6765;-80.6708;2.51654;66.7576;2.39255;0;0;4.49403e-14;0.01;0;4.73192;100;0;-1-1;-1
440;5;-22.1126;-48.7344;-95.1295;10.8109;5292.61;6.54176;0;0;9.03542e-05;0.01;0;1.91293;101;0;-1-1;-1
440;6;-21.3164;-24.4059;-86.1909;10.3397;4630.27;6.30068;0;0;0.0120623;0.01;0;6.22109;101;394;-1-1;-1
440;7;-18.2166;-6.89818;-89.592;10.1668;4401.97;6.20162;0;0;0.1;0.01;0;5.05368;0;0;-1-1;-1
440;8;-22.0322;12.0138;-85.423;5.2442;604.125;3.77075;0;0;0.000141169;0.01;0;3.34755;100;326;-1-1;-1
440;9;-21.3185;27.683;-81.744;3.94376;256.933;3.15507;0;0;5.33417e-07;0.01;0;3.39192;100;0;-1-1;-1
440;10;-9.47685;-53.6864;-82.9641;9.90541;4071.04;6.07302;0;0;0.1;0.01;0;6.13441;0;0;-1-1;-1
440;11;-8.23016;-37.1329;-89.1204;10.9517;5502.13;6.63223;0;0;9.70269e-06;0.01;0;5.08531;101;344;-1-1;-1
440;12;-5.99882;-19.2044;-91.8677;10.2088;4456.64;6.20565;0;0;0.1;0.01;0;4.55594;0;368;-1-1;-1
440;13;-9.33318;-1.90904;-86.4916;1.778;23.544;1.71484;0;0;1.08659e-16;0.01;0;5.62308;100;0;-1-1;-1
440;14;8.95337;16.8306;-87.3429;2.0827;37.8413;1.95965;0;0;3.59523e-14;0.01;0;4.92321;100;70;-1-1;-1
440;15;-3.22946;32.3855;-91.2781;8.63112;2693.33;5.21367;0;0;0.000141169;0.01;0;3.74768;101;58;-1-1;-1
440;16;7.04687;-56.486;-82.6113;9.2891;3357.45;5.70187;0;0;0.1;0.01;0;4.0512;0;0;-1-1;-1
440;17;5.6432;-12.4768;-101.958;9.29783;3366.93;5.6931;0;0;0.1;0.01;0;2.67517;0;86;-1-1;-1
440;18;14.7295;-6.55564;-89.0926;10.191;4433.4;6.20374;0;0;0.1;0.01;0;5.08014;0;382;-1-1;-1
440;19;11.4216;14.5674;-81.1758;5.9027;861.471;4.05338;0;0;0.0008407;0.01;0;5.12611;100;0;-1-1;-1
440;20;11.6066;27.3149;-87.381;10.2178;4468.51;6.21216;0;0;0.1;0.01;0;6.64976;0;352;-1-1;-1
440;21;9.06675;37.0844;-101.781;9.88317;4043.68;6.04232;0;0;0.1;0.01;0;2.45919;0;0;-1-1;-1
440;22;31.1072;-47.8392;-93.1728;8.18366;2295.78;4.95083;0;0;0.1;0.01;0;2.70255;1;346;-1-1;-1
440;23;34.8578;-34.5236;-85.7047;9.13603;3194.19;5.60545;0;0;0.1;0.01;0;6.01773;0;38;-1-1;-1
440;24;28.6517;-17.1378;-86.7938;10.7545;5210.23;6.54325;0;0;6.20975e-06;0.01;0;6.47506;101;0;-1-1;-1
440;1551;46.095;38.0662;41.3848;8.19955;2309.19;4.96579;0;0;0.1;0.01;0;7.19825;1;412;-1-1;-1
440;26;25.6022;18.1541;-83.9828;10.2017;4447.43;6.19945;0;0;0.1;0.01;0;6.25081;0;370;-1-1;-1
440;27;23.6301;43.6128;-97.41;8.52921;2599.05;5.21927;0;0;0.1;0.01;0;2.01873;0;58;-1-1;-1
440;28;43.9186;-32.414;-82.4696;2.04392;35.7669;1.98945;0;0;3.8231e-18;0.01;0;5.52159;100;0;-1-1;-1
440;29;45.267;-21.8724;-83.1214;10.0037;4193.44;6.10689;0;0;0.1;0.01;0;6.12995;0;360;-1-1;-1
440;30;42.4551;-5.66744;-88.4145;9.69458;3816.59;5.93989;0;0;0.1;0.01;0;4.23091;0;38;-1-1;-1
440;31;42.5444;14.8447;-84.2055;9.64813;3761.99;5.95305;0;0;0.1;0.01;0;4.37053;0;22;-1-1;-1
440;32;39.4351;30.7761;-81.0558;9.35585;3430.35;5.74078;0;0;0.1;0.01;0;5.62696;0;62;-1-1;-1
440;33;-74.5206;-22.1822;-71.9555;11.9555;7158.08;7.13715;0;0;6.88708e-20;0.01;0;3.42101;102;0;-1-1;-1
440;34;-63.0723;-62.303;-70.4473;8.99433;3047.86;5.55842;0;0;0.1;0.01;0;2.66742;0;0;-1-1;-1
440;35;-57.4342;-29.9351;-67.9142;10.2801;4550.73;6.23236;0;0;0.1;0.01;0;5.94262;0;376;-1-1;-1
440;36;-58.154;-11.7681;-68.5088;10.5457;4912.7;6.42941;0;0;1.51603e-05;0.01;0;5.58401;101;0;-1-1;-1
440;37;-60.3034;6.5041;-69.3175;9.92593;4096.39;6.05189;0;0;0.1;0.01;0;4.86393;0;0;-1-1;-1
440;38;-57.2295;29.2856;-86.3067;10.1168;4337.27;6.17085;0;0;0.1;0.01;0;3.16024;0;364;-1-1;-1
440;39;-51.4945;42.5927;-68.5768;1.99134;33.0767;1.92009;0;0;5.97359e-18;0.01;0;4.84178;100;0;-1-1;-1
440;40;-46.2487;-59.9232;-70.8573;10.2394;4496.83;6.22384;0;0;0.1;0.01;0;5.10402;0;0;-1-1;-1
440;41;-46.0239;-48.1433;-81.2186;8.1763;2289.6;4.95933;0;0;0.1;0.01;0;3.16579;1;0;-1-1;-1
440;42;-47.6049;-9.84827;-82.0051;5.37214;649.426;3.79153;0;0;0.000275675;0.01;0;4.35688;100;0;-1-1;-1
440;43;-44.3941;1.20249;-74.2021;9.97706;4160.03;6.09229;0;0;0.1;0.01;0;6.37108;0;372;-1-1;-1
440;44;-41.2992;24.0729;-81.7872;10.1256;4348.6;6.17126;0;0;0.1;0.01;0;4.24023;0;0;-1-1;-1
440;45;-46.5565;39.2565;-80.15;8.19565;2305.89;4.96177;0;0;0.1;0.01;0;3.26251;1;0;-1-1;-1
440;46;-41.8358;56.0125;-65.2076;10.0578;4261.83;6.14071;0;0;0.1;0.01;0;4.83186;0;0;-1-1;-1
440;47;-21.3571;-57.4771;-65.6021;1.96687;31.8727;1.9141;0;0;1.823e-17;0.01;0;5.75816;100;0;-1-1;-1
440;48;-23.5023;-41.4315;-80.0114;10.3087;4588.78;6.32563;0;0;3.70116e-05;0.01;0;6.42299;101;356;-1-1;-1
440;49;-32.4574;-27.9502;-73.3939;10.1903;4432.5;6.20177;0;0;0.1;0.01;0;7.29757;0;0;-1-1;-1
440;50;-27.8962;-7.35035;-74.3409;10.0065;4196.92;6.0986;0;0;0.1;0.01;0;5.64805;0;0;-1-1;-1
