simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0709832	18999	274.461
40	1196	59	0	109.084	3.25925e-05	7.30081
80	1196	0	0	91.2565	6.945e-14	0.029912
120	1196	0	0	91.244	1.47988e-22	0.000122552
160	1196	0	0	91.3145	3.15342e-31	5.02105e-07
200	1196	0	0	91.2852	6.71949e-40	2.05716e-09
240	1196	0	0	91.2926	1.43183e-48	8.42837e-12
280	1196	0	0	99.155	3.05103e-57	438.224
320	1196	0	0	99.0928	6.50131e-66	3.67089
360	1196	0	0	91.2023	1.38534e-74	0.0150399
400	1196	0	0	91.2256	2.95196e-83	6.16198e-05
440	1196	0	0	91.2169	6.29021e-92	2.52461e-07
480	1196	0	0	92.2619	1.34035e-100	1.03435e-09
520	1196	0	0	91.2061	2.85611e-109	4.23783e-12
560	1196	0	0	106.889	6.08596e-118	449.402
600	1196	0	0	91.3585	1.29683e-126	1.8515
640	1196	0	0	91.2251	2.76337e-135	0.00758575
680	1196	0	0	91.2508	5.88835e-144	3.10794e-05
720	1196	0	0	91.3061	1.25472e-152	1.27335e-07
760	1196	0	0	91.2104	2.67364e-161	5.21702e-10
800	1196	0	0	91.2557	5.69715e-170	2.13745e-12
840	1196	0	0	106.945	1.21398e-178	227.305
880	1196	0	0	91.2256	2.58683e-187	0.931287
920	1196	0	0	92.2428	5.51216e-196	0.00381556
960	1196	0	0	91.1784	1.17456e-204	1.56326e-05
1000	1196	0	0	91.2644	2.50283e-213	6.40482e-08
1040	1196	0	0	91.2227	5.33318e-222	2.62411e-10
1080	1196	0	0	91.2475	1.13643e-230	1.07512e-12
1120	1196	0	0	106.96	2.42156e-239	114.332
1160	1196	0	0	91.2729	5.16001e-248	0.468428
1200	1196	0	0	91.2132	1.09953e-256	0.00191919
1240	1196	0	0	91.2488	2.34293e-265	7.86306e-06
1280	1196	0	0	91.2375	4.99246e-274	3.22156e-08
1320	1196	0	0	91.2532	1.06382e-282	1.3199e-10
1360	1196	0	0	92.197	2.26686e-291	5.40773e-13
1400	1196	0	0	106.916	4.83035e-300	57.5079
1440	1196	0	0	88.998	0	0.235615
1440.02	1196	0	0	0.155346	0	0.234968
